Class Code,Class Title,Class Description,Credit Hours,Class Instructors,Academic Career
FREN 1550,The Power of Fairy Tales in Italy and France,"Examines French and Italian fairy tales written between 1550 and 1750 and analyzes their connections to each other and to contemporary fairy tales literature, film, and the arts. Same as <a href=""/search/?p=ITAL%201550"" data-action=""result-detail"" data-group=""code:ITAL 1550"" >ITAL 1550</a>.",3,S. Magnanini,UGRD
FREN 1010,Beginning French 1,"For students with no previous knowledge of French. Presents basic grammar and most commonly used French vocabulary. Introduces students to Francophone culture. Degree credit not granted for this course and <a href=""/search/?p=FREN%201050"" data-action=""result-detail"" data-group=""code:FREN 1050"" >FREN 1050</a>.",5,S. Vandermarliere,UGRD
FNCE 7100,Doctoral Seminar: Finance Theory,"Develops the foundations for the study of modern financial economics by analyzing individuals' consumption and portfolio decisions in the context of risk and then traces the implications to market valuation of traded securities. Topics include the meaning and measurement of risk, portfolio theory, the Capital Asset Pricing Model, and arbitrage pricing arguments like those employed in Modigliani and Miller's capital structure theory and the Black-Scholes option pricing model.",3,B. Waters,GRAD
FNCE 7800,Doctoral Pre-Seminar: Finance,Provides finance doctoral students with an orientation to the finance field; introduces contemporary research perspectives and priorities. Students discuss papers that illustrate academic researchers' use of various disciplinary theoretical and empirical tools to address finance problems.,3,C. Spaenjers,GRAD
FREN 1020,Beginning French 2,"Continuation of <a href=""/search/?p=FREN%201010"" data-action=""result-detail"" data-group=""code:FREN 1010"" >FREN 1010</a>. Completes the presentation of most basic structures and French vocabulary. Degree credit not granted for this course and <a href=""/search/?p=FREN%201050"" data-action=""result-detail"" data-group=""code:FREN 1050"" >FREN 1050</a>.",5,S. Vandermarliere,UGRD
FNCE 8900,Independent Study,Instructor consent required and departmental form required.,3,,GRAD
FREN 1050,Beginning French Review,"Covers the material of <a href=""/search/?p=FREN%201010"" data-action=""result-detail"" data-group=""code:FREN 1010"" >FREN 1010</a> and <a href=""/search/?p=FREN%201020"" data-action=""result-detail"" data-group=""code:FREN 1020"" >1020</a> in one accelerated semester. Intended for students who know some French (i.e., four to five semesters in high school) but do not have skills adequate for 2000-level courses. Instructors enforce prerequisites: 2 years of high school French. Degree credit not granted for this course and <a href=""/search/?p=FREN%201010"" data-action=""result-detail"" data-group=""code:FREN 1010"" >FREN 1010</a> or <a href=""/search/?p=FREN%201020"" data-action=""result-detail"" data-group=""code:FREN 1020"" >FREN 1020</a>.",5,,UGRD
FREN 1900,"Modern Paris in Literature, Photographs, Paintings and Movies","Explores the evolution of modern Paris through the eyes of its artists and writers, Parisians and expatriates alike, from the French Revolution (1789) to the present. Studies historical and contemporary changes in architecture and urban planning as the city adapts to growing population, social challenges, and sustainability. Taught in English.",3,A. Kilbane,UGRD
FREN 1880,The Zombie in History and Popular Culture,"Discusses the emergence of the zombie figure in the Caribbean and its evolution from colonial Haiti to present-day popular culture having passed through Hollywood. Through movies and literary, historical, and scientific documents, students will study critically how this mass-media icon came to represent deep-rooted anxieties about the modern world. Same as <a href=""/search/?p=AHUM%201880"" data-action=""result-detail"" data-group=""code:AHUM 1880""  class=""notoffered"">AHUM 1880</a>.",3,K. Murphy,UGRD
FREN 2120,Second-Year French Grammar Review and Reading 2,"Completes the film-based study of intermediate grammar begun in <a href=""/search/?p=FREN%202110"" data-action=""result-detail"" data-group=""code:FREN 2110"" >FREN 2110</a>. Continued reading in French literature and culture, with considerable practice in writing and speaking French. Fulfills the Graduate School language requirement for the Ph.D.",3,A. Van Nelson,UGRD
FREN 3010,French Phonetics and Pronunciation,"Improves students' ability to pronounce French correctly. Coursework involves mastering and using the International Phonetic Alphabet, understanding the differences between pairs of sounds, and recognizing the relationship between spelling and pronunciation. Required of all FREN majors.",3,A. Van Nelson,UGRD
FREN 2110,Second-Year French Grammar Review and Reading 1,"A film based curriculum will expand the knowledge of francophone culture and will continue the development of communication skills begun in the first year. This third semester course will review essential beginning grammar before introducing intermediate structures, vocabulary, and cultural/literary readings.",3,,UGRD
ENVS 6950,Master's Thesis,,6,"D. Ciplet, P. Newton, D. McKnight, B. Hale, C. Brooks, M. Boykoff, A. Carrico, M. Burgess, J. Lambert",GRAD
FREN 3050,French Composition,French third-year level composition course. Students practice and write different forms of formal French writing. They also hone their grammar skills and analytical reading of short literature pieces. This course is required for all French majors.,3,A. Kilbane,UGRD
FREN 3100,Introduction to Critical Reading and Writing in French Literature,"An exploration of important moments in French culture and history as represented in major works of fiction, poetry, and drama. Emphasis on refining critical thought through compositions and oral expression in French.",3,E. Bloomfield,UGRD
FREN 4990,Senior Seminar,"Preparation of a 15-page research paper in French presented to two members of the department faculty and defended orally in class. Recommended prerequisite: at least one course numbered <a href=""/search/?p=FREN%204100"" data-action=""result-detail"" data-group=""code:FREN 4100""  class=""notoffered"">FREN 4100</a> or above and all third-year requirements and advisor consent.",3,,UGRD
FREN 3700,French-American Cultural Differences,"Students will identify and consider key differences between French and American cultural, political and civic values through the analysis of film, literature, journalism, and personal observations.",3,,UGRD
FREN 3200,Introduction to Literary Theory and Advanced Critical Analysis,"Introduces important aspects of both classical and modern literary theory as an aid to reading and understanding literary texts. Covers theoretical works by figures ranging from Plato and Aristotle to modern French critics such as Barthes, Foucault, and Derrida in conjunction with selected literary works. Offers students more sophisticated means of understanding issues like gender, ethnicity, the roles of both author and reader in constructing meaning, the nature and functions of signs, and the relationship between literature and the larger society. Conducted in English, though French majors are required to read the texts in the original language. Required for students taking honors in French or Italian.",3,B. Valente-Quinn,UGRD
FREN 3120,Main Currents of French Literature 2,A survey of important texts and artistic movements from the nineteenth century to the present that inform the contemporary French and Francophone world. Students will become familiar with the intellectual history crucial to understanding the present moment.,3,K. Murphy,UGRD
FREN 4980,French Senior Honors Thesis,"The senior honor thesis is a 40 to 45 page original research paper, written in French, and constitutes a requirement for graduating with departmental honors.",3,,UGRD
FREN 4120,French Special Topics,"Topics vary each semester. Consult the online Schedule Planner for specific topics. See also <a href=""/search/?p=FREN%204110"" data-action=""result-detail"" data-group=""code:FREN 4110"" >FREN 4110</a>.",3,E. Bloomfield,UGRD
FREN 4110,French Special Topics,"Topics vary each semester. Consult the online Schedule Planner for specific topics. See also <a href=""/search/?p=FREN%204120"" data-action=""result-detail"" data-group=""code:FREN 4120"" >FREN 4120</a>.",3,C. Samuelson,UGRD
FREN 5110,French Special Topics,"Different topics are offered and, in a number of cases, cross-listed with other departments. May be repeated up to 6 total credit hours on different topics.",3,C. Samuelson,GRAD
FREN 4960,High School French Teaching,Offered as part of the supervised student teaching in a secondary school required for state licensure to teach French. These hours do not count toward student hours in the major nor in the maximum departmental hours allowed.,6,S. Vandermarliere,UGRD
FYXP 1500,First Year Success Seminar,"Designed to assist first-year students with their successful transition to the University of Colorado Boulder. Students will learn about campus resources, goal setting, study skills, and academic exploration. Participation in class discussions, self reflection, and engagement in course assignments are essential in this course. This course will provide a supportive environment for new students to engage with peers, staff, and faculty to support the first eight weeks of the transition to college.",1,,UGRD
GEEN 1400,Engineering Projects,"First-year students solve real engineering design problems in interdisciplinary teams. Design projects vary by section.  Curriculum focuses on iterative design process, teamwork and team dynamics, supporting design with testing and analysis, and technical writing.  Completed projects are exhibited at an end-of-semester design expo.  Students are responsible for contributing towards their design project budget, workshop costs, and course arduino kit (approximately $125). Degree credit not granted for this course and <a href=""/search/?p=ASTR%202500"" data-action=""result-detail"" data-group=""code:ASTR 2500""  class=""notoffered"">ASTR 2500</a>, <a href=""/search/?p=ASEN%201400"" data-action=""result-detail"" data-group=""code:ASEN 1400""  class=""notoffered"">ASEN 1400</a>, <a href=""/search/?p=ASEN%201403"" data-action=""result-detail"" data-group=""code:ASEN 1403"" >ASEN 1403</a> and <a href=""/search/?p=ECEN%201400"" data-action=""result-detail"" data-group=""code:ECEN 1400"" >ECEN 1400</a>.",Varies by section,"S. Calve, J. Tisdale, V. Ferguson, A. Blum, K. Ramos, G. Burleson, C. Salvinelli",UGRD
GEEN 2850,Independent Study,Subjects arranged in consultation with instructor and undergraduate advisor. Program consent required.,3,"A. Bielefeldt, M. Zarske, M. Soltys, D. Godrick, K. Ramos, M. Davis, J. Tisdale, N. Stites",UGRD
GEEN 2400,Engineering Projects for the Community,"Design engineering products for local community clients, with emphasis on humanitarian engineering and integrated systems with electrical, mechanical, and software components. Students are challenged to take design projects to a higher level by requiring an additional iteration through design cycle and more engaged user-testing, in order to infuse student projects with robustness necessary for public-use products. Students responsible for contributing towards their design project budget, workshop, and expo costs (approximately $100). Cannot be taken concurrently with <a href=""/search/?p=GEEN%203400"" data-action=""result-detail"" data-group=""code:GEEN 3400"" >GEEN 3400</a>.",Varies by section,M. Soltys,UGRD
GEEN 2010,Engineering Tools and Analysis,"Taught by engineering faculty, this course utilizes active learning pedagogies to connect math content to engineering problems (across multiple disciplines) by using real engineering tools. Students are introduced to circuits, multimeters, oscilloscopes, sensors and more. They learn to program in MATLAB (no previous programming experience necessary). Students work collaboratively with other students to collect and analyze experimental data. There is one lecture, one mixed lecture/hands-on problem session, and one lab period each week.",Varies by section,"D. Godrick, M. Davis, J. Tisdale",UGRD
FYXP 2200,Design Thinking Seminar: Using Design Thinking to Create Your Brand and Share Your Story,"The Design Thinking Seminar introduces students to the principles of the design thinking framework and its application toward solution development and personal brand building. In this course students will participate in interactive and hands-on sessions to develop their own story, understand community needs, and create tangible solutions. Students will acquire a strong understanding of the design thinking framework, a deeper sense of their personal passions, and tools to craft their own path at CU and beyond. Department enforced prerequisite: Students must be enrolled in the Design Your Path Living Learning Community.",1,,UGRD
GEEN 2851,Statics for Engineers,"Examines vector treatment of force systems and their resultants; equilibrium of frames and machines, including internal forces and three-dimensional configurations; static friction; properties of surfaces, including first and second moments; hydrostatics; and minimum potential energy and stability. Degree credit not granted for this course and <a href=""/search/?p=CVEN%202121"" data-action=""result-detail"" data-group=""code:CVEN 2121"" >CVEN 2121</a> and <a href=""/search/?p=MCEN%202023"" data-action=""result-detail"" data-group=""code:MCEN 2023"" >MCEN 2023</a>.",3,D. Godrick,UGRD
FYXP 3000,Transfer Success Seminar,"This success seminar course is designed to assist you, a first semester transfer student, with your transition to the University of Colorado Boulder. Through this course you will learn about various campus and academic resources applicable to an upper-division student; evaluate your skills, interests, strengths and education as they relate to overall career goals; and establish an encouraging transfer student community. Participation, group work, and class discussions are essential in this course.",1,,UGRD
FREN 6940,Master's Candidate for Degree,"Registration intended for students preparing for a thesis defense, final examination, culminating activity, or completion of degree.",1,,GRAD
FREN 5120,French Special Topics: Francophone,"Different topics are offered and, in a number of cases, cross-listed with other departments. May be repeated up to 6 total credit hours on different topics.",3,B. Valente-Quinn,GRAD
FREN 5770,Methods of Teaching French as a Foreign Language,Familiarizes students with current methodology and techniques in foreign language teaching.,3,S. Vandermarliere,GRAD
GEEN 3400,Invention and Innovation,"Introduction to business development and product innovation with a hands-on approach. Students explore invention process, hone their engineering design skills, and explore initial stages of entrepreneurship (patenting, intellectual property, marketing research, and raising capital). Student teams design, create, and test a commercial product, and exhibit at an end-of-semester design expo. Students are responsible for contributing towards their design project budget, workshop, and expo costs (approximately $100). Cannot be taken concurrently with <a href=""/search/?p=GEEN%202400"" data-action=""result-detail"" data-group=""code:GEEN 2400"" >GEEN 2400</a>.",Varies by section,M. Zarske,UGRD
GEEN 3852,Thermodynamics for Engineers,"Explores fundamental concepts and basic theory, including first and second laws of thermodynamics, properties, states, thermodynamic functions and cycles. Links theory and application with labs and a design project involving a functioning thermodynamic process. Degree credit not granted for this course and <a href=""/search/?p=MCEN%203012"" data-action=""result-detail"" data-group=""code:MCEN 3012"" >MCEN 3012</a> or <a href=""/search/?p=AREN%202110"" data-action=""result-detail"" data-group=""code:AREN 2110"" >AREN 2110</a>.",3,M. Soltys,UGRD
FYXP 1100,Academic Success Seminar,"The Academic Success Seminar is a one-credit course designed for first-year students in the Program in Exploratory Studies and is taught by staff in the University Exploration &amp; Advising Center. Through participation in FYXP 1100, students will develop the skills they need to succeed in college. The class focuses on developing learning strategies, improving executive functioning (time management, organization, self-monitoring, etc.), and setting S.M.A.R.T. goals. Personal self-reflection is an important component of this course. Students will also identify their strengths and participate in collaborative peer-to-peer interactions.",1,,UGRD
GEEN 3010,Circuits for Engineers,"Examines basic concepts of electricity, digital systems, circuit analysis, and circuit design. Specific topics covered include analysis of electric circuits by use of Ohm's law, network reduction, node and loop analysis, Thevenin and Norton theorems, DC and AC signals, transient response of simple circuits, basic diode and transistor circuits, operational amplifiers, and microcontrollers. Students are challenged to integrate their knowledge in a final design project.",Varies by section,M. Zarske,UGRD
GEEN 4848,Independent Study,Subjects arranged in consultation with instructor and undergraduate advisor. Department consent required.,6,"A. Bielefeldt, M. Zarske, M. Soltys, D. Godrick, K. Ramos, M. Davis, J. Tisdale, N. Stites",UGRD
EVEN 4414,Water Chemistry Laboratory,"Reinforces chemical fundamentals of inorganic aqueous compounds and contaminants from CVEN/<a href=""/search/?p=EVEN%204404"" data-action=""result-detail"" data-group=""code:EVEN 4404"" >EVEN 4404</a> in laboratory experiments and reports. Topics include acids and bases, carbonate chemistry (alkalinity) and other water chemistry characteristics (hardness, dissolved oxygen); precipitation, complexation and oxidation-reduction reactions; and laboratory techniques and reporting. Same as <a href=""/search/?p=CVEN%204414"" data-action=""result-detail"" data-group=""code:CVEN 4414"" >CVEN 4414</a>.",1,A. Bolhari,UGRD
EVEN 5979,Introduction to Humanitarian Aid,"Addresses the humanitarian-development nexus and gives an overview of the main ethical and professional principles, standards, and key stakeholders involved in humanitarian aid. Students will learn the historical and legal frameworks that shaped these principles, and examine their applicability to the challenges faced by humanitarian actors today. Increasing frequency, intensity, complexity, and length of emergency situations require new approaches and coordination among historically divided humanitarian and development actors. Recommended prerequisite: <a href=""/search/?p=CVEN%204839"" data-action=""result-detail"" data-group=""code:CVEN 4839""  class=""notoffered"">CVEN 4839</a>/<a href=""/search/?p=CVEN%205919"" data-action=""result-detail"" data-group=""code:CVEN 5919"" >5919</a> Global Development for Engineers.",3,C. Salvinelli,GRAD
EVEN 1000,Introduction to Environmental Engineering,"Introduces first-year students to the environmental engineering program from an academic and a career perspective. Covers air quality, applied ecology, chemical processing, energy, engineering for developing communities, environmental remediation, and water resources and treatment. Includes reading and writing on the history of environmental engineering, major environmental issues, and professional ethics.",1,J. Ryan,UGRD
GEOG 1011,Our Changing Planet: Landscapes and Water,"In many ways, the Earth is defined by its abundance of water and vigorous hydrologic cycle. This course introduces how floodplains and their associated river systems, river deltas, erosional features such as the Grand Canyon, depositional features such as Cape Cod and Long Island, as well as mountain and even desert landscapes reflect the great power of water in shaping our planet and impacting life on Earth.",Varies by section,"K. Musselman, S. Welter, M. White",UGRD
GEOG 1001,Our Changing Planet: Climate and Vegetation,"Understanding our fragile planet and the life it harbors requires understanding how the distribution of the sun's energy at the surface, the atmosphere and its circulation, and the distribution of ocean and lands shape patterns of temperature, precipitation and vegetation across the globe. Along with providing a foundation for understanding planet Earth, this course addresses the growing impacts of human systems on climate change and environmental quality.",Varies by section,"M. Serreze, S. Welter",UGRD
GEOG 1972,"Sustainable Futures, Environment and Society","Deepen your understanding of key global environmental issues, such as climate change, biodiversity loss, pollution, overconsumption, and environmental health hazards. We will discuss topics including conservation, water use, ethics, and environmental justice, and think about the relationship between politics, economy, culture and nature with case studies from around the globe.",Varies by section,"S. Frydenlund, A. Hickcox, P. Gurung",UGRD
GEOG 3023,Statistics and Geographic Data,"Learn how to use computational and statistical tools to solve problems in the geographic domain and apply introductory statistical concepts to real world problems through lab exercises. Using spatial data you will be trained in powerful specialized descriptive and predictive analysis technique. You will explore how to manipulate and visualize data and make inference using state-of-the art statistics software, applied to various social and Earth Science problems. Same as <a href=""/search/?p=GEOL%203023"" data-action=""result-detail"" data-group=""code:GEOL 3023""  class=""notoffered"">GEOL 3023</a>.",Varies by section,"G. Cao, T. Chapman",UGRD
GEOG 2321,Geography of Skiing and Snowboarding,"Skiing and snowboarding (hereafter, skiing) are sports that lie at the convergence of diverse Earth science disciplines. Skiing is about the unique interaction between mountains, climate, the physics of glissading, technological innovation, and human expression. This course studies skiing through the lens of geographic inquiry, introducing students to the science of geography, by investigating the physical processes that govern mountain weather, snow properties, and the dynamics by which humans glissade over snow.",3,Molotch/Frydenlund,UGRD
GEOG 2053,Mapping Our World,"Maps, geospatial data and technology play an important role in our understanding of the world and our geospatial literacy. Learn about the evolution of maps, the map as an art form, the map as a form of communication, and the ways maps influence our view of the world. Engage in critical thinking about maps and spatial data, and their use in society. In hands-on exercises students learn how to critically read and evaluate maps for expanding their spatial awareness of the world around them.",3,S. Schlosser,UGRD
GEOG 2271,Introduction to the Arctic Environment,"Rising temperatures, shrinking sea ice and melting glaciers are only the most visible indications of a rapidly changing Arctic. This course addresses the climate of the Arctic and the changes being observed at a non-mathematical level. It is intended to provide students with a basic understanding of the Arctic physical and biological environment as well as the impacts of Arctic change on human and environmental systems.",3,"M. Serreze, S. Welter",UGRD
GEOG 3251,Mountain Geosystems,Surveys mountain environments and their human use with illustrations from temperate and tropical mountain areas.,3,M. White,UGRD
GEOG 3351,Biogeography,Surveys and analyzes plant and animal distributions on a world scale from ecological and historical perspectives. Emphasizes human impact on species.,3,B. Rastogi,UGRD
GEOG 2692,Foundations in Public Health,"Get a comprehensive overview of public health as well as an in-depth introduction to specific public health-related topics. Beginning with a historical overview, students will explore major public health concepts such as the basic principles of epidemiology, the biomedical basis of disease, social and behavioral determinants of health, and systems thinking. Learn about the concepts of measuring and evaluating the health of populations, principles of communicable and non-communicable diseases, environmental and occupational health, the economics of health, and the role of public health workers in society. Same as <a href=""/search/?p=IPHY%202692"" data-action=""result-detail"" data-group=""code:IPHY 2692"" >IPHY 2692</a> and <a href=""/search/?p=PBHL%202692"" data-action=""result-detail"" data-group=""code:PBHL 2692""  class=""notoffered"">PBHL 2692</a>.",3,M. Floriano,UGRD
GEOG 2421,Visualizing Climate Change and Extreme Weather Events,"Climate change is one of the most important and contentious issues impacting every aspect of our society. So what is climate change and who will it impact? This course will address the environmental and societal consequences and more. You will graph, map, and view satellite data to provide evidence of climate change around the world. In these efforts, you will be introduced to basic graphing, GIS, and remote sensing skills. Recommended prerequisite: <a href=""/search/?p=GEOG%201001"" data-action=""result-detail"" data-group=""code:GEOG 1001"" >GEOG 1001</a>.",3,R. Isaacs,UGRD
GEOG 3053,Geographic Information Science: Mapping,"Introduction to Geographic Information Systems (GIS) and the fundamentals of cartographic design. Learn about the science and art of map design in a GIS environment! Students will learn how to build a spatial database, implement best practice for processing various types of environmental and social spatial data and apply basic visual analytics to understand spatial patterns. Recommended prerequisite: basic familiarity with computers and an introductory course in statistics (may be taken concurrently).",Varies by section,"S. Schlosser, T. Chapman",UGRD
GEOG 3412,Conservation Practice and Resource Management,"Studies policy and management of natural resources. Emphasizes practical approaches to the conservation and management of soil, land, water and air resources.",3,W. Travis,UGRD
GEOG 4002,Topics in Human and Environment/Society Geography: Geography of the Andes,Examines various topics in human and environment / society geography that are not typically covered in the curriculum. Offered intermittently depending on student demand and availability of instructors.,3,W. Loayza,UGRD
GEOG 3422,Political Ecology,"Political ecology is an influential approach to understanding society-environment relationships. Learn about issues including different philosophies of nature and wilderness, the politics of conservation, causes of environmental degradation, environmental conflict and indigenous ecological knowledge and understand their importance in our society. Recommended prerequisite: <a href=""/search/?p=GEOG%201972"" data-action=""result-detail"" data-group=""code:GEOG 1972"" >GEOG 1972</a>.",3,T. Mohan,UGRD
GEOG 3692,Introduction to Global Public Health,"Introduces global health by putting its contemporary definition, determinants, development and direction as a field into a broad global context. The course is divided into four core topics: 1) the burden and distribution of disease and mortality; 2) the determinants of global health disparities; 3) the development of global health policies; and 4) the outcomes of global health interventions. Required for the Public Health Certificate.",Varies by section,"M. Floriano, J. Ramirez, C. Ryan",UGRD
GEOG 3511,The Water Cycle,"The pathway a raindrop or snowflake takes from the atmosphere to the stream determines water quality and quantity society relies on. This course examines the water cycle and its relationship with climate, vegetation, and soil. Learn how to work with quantitative analysis tools used by water managers during labs.",Varies by section,K. Musselman,UGRD
GEOG 4043,Advanced Geovisualization and Web Mapping,"Advanced technical course in web-based cartography and geovisualization stressing the important role digital cartography plays in cyberspace and society. Focuses on principles of effective cartographic design in multimedia and hypertext environments. Labs are organized around hands-on active learning projects demonstrating skills in geovisualization and cartographic practice. Same as <a href=""/search/?p=GEOG%205043"" data-action=""result-detail"" data-group=""code:GEOG 5043"" >GEOG 5043</a>.",Varies by section,M. Karimzadeh,UGRD
GEOG 3812,"Mexico, Central America, and the Caribbean","Introduces the geography of Latin America, focusing on the lands and peoples of Mexico, Central America, and the Caribbean. Examines regional and national culture, history, environment, and population, as well as ongoing environmental and socioeconomic changes. Recommended prerequisite: <a href=""/search/?p=GEOG%201962"" data-action=""result-detail"" data-group=""code:GEOG 1962"" >GEOG 1962</a> or <a href=""/search/?p=GEOG%201972"" data-action=""result-detail"" data-group=""code:GEOG 1972"" >GEOG 1972</a> or <a href=""/search/?p=GEOG%201982"" data-action=""result-detail"" data-group=""code:GEOG 1982""  class=""notoffered"">GEOG 1982</a> or <a href=""/search/?p=GEOG%201992"" data-action=""result-detail"" data-group=""code:GEOG 1992"" >GEOG 1992</a> or <a href=""/search/?p=GEOG%202092"" data-action=""result-detail"" data-group=""code:GEOG 2092""  class=""notoffered"">GEOG 2092</a>.",3,J. Bryan,UGRD
GEOG 3672,"Who Runs the World? Sex, Power, and Gender in Geography","This course will examine how gender and sexuality is constructed locally, nationally, and globally, drawing on conversations about feminist pasts, presents, and futures. We will focus on how gender intersects with race, class, sexuality, ability, religion, ethnicity, and geopolitical location to structure the lived experiences of women across the globe. We will apply critical geographic perspectives to gender inequality, exploring the overlaps and differences in women’s and LGBTQ+ struggles as they are shaped by ongoing socio-cultural, political, and economic conditions globally. Recommended prerequisite: <a href=""/search/?p=GEOG%201962"" data-action=""result-detail"" data-group=""code:GEOG 1962"" >GEOG 1962</a> or <a href=""/search/?p=GEOG%201972"" data-action=""result-detail"" data-group=""code:GEOG 1972"" >GEOG 1972</a> or <a href=""/search/?p=GEOG%201982"" data-action=""result-detail"" data-group=""code:GEOG 1982""  class=""notoffered"">GEOG 1982</a> or <a href=""/search/?p=GEOG%201992"" data-action=""result-detail"" data-group=""code:GEOG 1992"" >GEOG 1992</a> or <a href=""/search/?p=GEOG%202092"" data-action=""result-detail"" data-group=""code:GEOG 2092""  class=""notoffered"">GEOG 2092</a> or <a href=""/search/?p=WGST%202000"" data-action=""result-detail"" data-group=""code:WGST 2000"" >WGST 2000</a> or <a href=""/search/?p=WGST%202600"" data-action=""result-detail"" data-group=""code:WGST 2600""  class=""notoffered"">WGST 2600</a>. Same as <a href=""/search/?p=WGST%203672"" data-action=""result-detail"" data-group=""code:WGST 3672"" >WGST 3672</a>.",3,A. Ranjbar,UGRD
GEOG 3822,"Contemporary China: Environment, Society, Politics","Surveys the world's most populous country, examining physical and historical geography, urbanization and regional development, agriculture, population, energy, and the environment. Seeks to situate China's development in a broader Asian and global context. Recommended prerequisite: <a href=""/search/?p=GEOG%201962"" data-action=""result-detail"" data-group=""code:GEOG 1962"" >GEOG 1962</a> or <a href=""/search/?p=GEOG%201972"" data-action=""result-detail"" data-group=""code:GEOG 1972"" >GEOG 1972</a> or <a href=""/search/?p=GEOG%201982"" data-action=""result-detail"" data-group=""code:GEOG 1982""  class=""notoffered"">GEOG 1982</a> or <a href=""/search/?p=GEOG%201992"" data-action=""result-detail"" data-group=""code:GEOG 1992"" >GEOG 1992</a> or <a href=""/search/?p=GEOG%202092"" data-action=""result-detail"" data-group=""code:GEOG 2092""  class=""notoffered"">GEOG 2092</a>.",3,"T. Oakes, J. DiCarlo",UGRD
GEOG 4103,Geographic Information Science: Spatial Analytics,"Explores advanced topics in geospatial databases, spatial analytics and geoprocessing in a Geographic Information System (GIS). Emphasizes how geographic concepts are linked to methodological frameworks for recording, transforming, storing/retrieving, analyzing, and processing geographic data as well as various forms of uncertainty. Exercises demonstrate the application of GIS-based methods to real world scenarios in interdisciplinary settings. Same as <a href=""/search/?p=GEOG%205103"" data-action=""result-detail"" data-group=""code:GEOG 5103"" >GEOG 5103</a>.",Varies by section,S. Leyk,UGRD
GEOG 3930,Internship,Provides an academically supervised opportunity for advanced geography or environmental studies majors to work in public and private organizations on projects related to the student's career goals and to relate classroom theory to practice. May be repeated up to 6 total credit hours. Instructor consent required.,3,T. Mohan,UGRD
GEOG 4003,Topics in Geographic Skills: Machine Learning &Spatial Data,Examines various topics in geographical skills and techniques that are not typically covered in the curriculum. Offered intermittently depending on student demand and availability of instructors.,Varies by section,M. Karimzadeh,UGRD
GEOG 4093,Remote Sensing of the Environment,"Covers acquisition and interpretation of environmental data by remote sensing. Discusses theory and sensors as well as manual and computerized interpretation methods. Stresses infrared and microwave portions of the spectrum. Same as <a href=""/search/?p=GEOG%205093"" data-action=""result-detail"" data-group=""code:GEOG 5093"" >GEOG 5093</a> and <a href=""/search/?p=GEOL%204093"" data-action=""result-detail"" data-group=""code:GEOL 4093"" >GEOL 4093</a> and <a href=""/search/?p=GEOL%205093"" data-action=""result-detail"" data-group=""code:GEOL 5093"" >GEOL 5093</a>.",Varies by section,R. Isaacs,UGRD
GEOG 3601,Principles of Climate,"Describes the basic components of the climate system: the atmosphere, ocean, cryosphere and lithosphere. Investigates the basic physical processes that determine climate and link the components of the climate system. Covers the hydrological cycle and its role in climate, climate stability and global change. Recommended prerequisites: one semester of calculus and <a href=""/search/?p=ATOC%201060"" data-action=""result-detail"" data-group=""code:ATOC 1060"" >ATOC 1060</a> or <a href=""/search/?p=ATOC%203300"" data-action=""result-detail"" data-group=""code:ATOC 3300""  class=""notoffered"">ATOC 3300</a> or <a href=""/search/?p=GEOG%203301"" data-action=""result-detail"" data-group=""code:GEOG 3301""  class=""notoffered"">GEOG 3301</a> or <a href=""/search/?p=GEOG%201001"" data-action=""result-detail"" data-group=""code:GEOG 1001"" >GEOG 1001</a>. Same as <a href=""/search/?p=ATOC%203600"" data-action=""result-detail"" data-group=""code:ATOC 3600"" >ATOC 3600</a> and <a href=""/search/?p=ENVS%203600"" data-action=""result-detail"" data-group=""code:ENVS 3600"" >ENVS 3600</a>.",3,"X. Wang, T. Chapman",UGRD
GEOG 3682,"International Development: Economics, Power, and Place","Learn about global economic and political inequalities through international development programs. Understand why some countries are in conditions of cyclical poverty while others experience massive economic growth and wealth. We will examine different approaches to economic development and critically consider existing and future planning. Recommended prerequisite: <a href=""/search/?p=GEOG%201962"" data-action=""result-detail"" data-group=""code:GEOG 1962"" >GEOG 1962</a> or <a href=""/search/?p=GEOG%201972"" data-action=""result-detail"" data-group=""code:GEOG 1972"" >GEOG 1972</a> or <a href=""/search/?p=GEOG%201982"" data-action=""result-detail"" data-group=""code:GEOG 1982""  class=""notoffered"">GEOG 1982</a> or <a href=""/search/?p=GEOG%201992"" data-action=""result-detail"" data-group=""code:GEOG 1992"" >GEOG 1992</a> or <a href=""/search/?p=GEOG%202092"" data-action=""result-detail"" data-group=""code:GEOG 2092""  class=""notoffered"">GEOG 2092</a>.",3,"T. Mohan, J. DiCarlo",UGRD
GEOG 4201,Biometeorology,"Learn about the interactions between atmospheric processes and living organisms (plants, animals, and humans) through a meteorology/ biology lens. Topics include carbon and water cycling through vegetation, the energy and water balances in the system, and human temperature regulation to better understand how organisms adapt to a changing environment using a practical, problem-solving approach. Same as <a href=""/search/?p=ENVS%204201"" data-action=""result-detail"" data-group=""code:ENVS 4201"" >ENVS 4201</a>.",3,P. Blanken,UGRD
GEOG 4173,Research Seminar,"Examines the nature of research and develops pregraduate skills for geographic research, emphasizing problem definition, methods, sources, data interpretation, and writing. Recommended for students pursuing honors.",3,T. Mohan,UGRD
